Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-01-2024;03:45:00;01-01-2024;04:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,087;kWh;Uitgelezen;
01-01-2024;03:45:00;01-01-2024;04:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;04:00:00;01-01-2024;04:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,084;kWh;Uitgelezen;
01-01-2024;04:00:00;01-01-2024;04:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;04:15:00;01-01-2024;04:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,079;kWh;Uitgelezen;
01-01-2024;04:15:00;01-01-2024;04:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;04:30:00;01-01-2024;04:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,084;kWh;Uitgelezen;
01-01-2024;04:30:00;01-01-2024;04:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;04:45:00;01-01-2024;05:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,070;kWh;Uitgelezen;
01-01-2024;04:45:00;01-01-2024;05:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;05:00:00;01-01-2024;05:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,063;kWh;Uitgelezen;
01-01-2024;05:00:00;01-01-2024;05:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;05:15:00;01-01-2024;05:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,065;kWh;Uitgelezen;
01-01-2024;05:15:00;01-01-2024;05:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;05:30:00;01-01-2024;05:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,070;kWh;Uitgelezen;
01-01-2024;05:30:00;01-01-2024;05:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;05:45:00;01-01-2024;06:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,065;kWh;Uitgelezen;
01-01-2024;05:45:00;01-01-2024;06:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;06:00:00;01-01-2024;06:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,076;kWh;Uitgelezen;
01-01-2024;06:00:00;01-01-2024;06:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;06:15:00;01-01-2024;06:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,085;kWh;Uitgelezen;
01-01-2024;06:15:00;01-01-2024;06:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;06:30:00;01-01-2024;06:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,087;kWh;Uitgelezen;
01-01-2024;06:30:00;01-01-2024;06:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;06:45:00;01-01-2024;07:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,052;kWh;Uitgelezen;
01-01-2024;06:45:00;01-01-2024;07:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;07:00:00;01-01-2024;07:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,057;kWh;Uitgelezen;
01-01-2024;07:00:00;01-01-2024;07:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;07:15:00;01-01-2024;07:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,065;kWh;Uitgelezen;
01-01-2024;07:15:00;01-01-2024;07:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;07:30:00;01-01-2024;07:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,062;kWh;Uitgelezen;
01-01-2024;07:30:00;01-01-2024;07:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;07:45:00;01-01-2024;08:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,059;kWh;Uitgelezen;
01-01-2024;07:45:00;01-01-2024;08:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;08:00:00;01-01-2024;08:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,082;kWh;Uitgelezen;
01-01-2024;08:00:00;01-01-2024;08:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;08:15:00;01-01-2024;08:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,077;kWh;Uitgelezen;
01-01-2024;08:15:00;01-01-2024;08:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;08:30:00;01-01-2024;08:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,079;kWh;Uitgelezen;
01-01-2024;08:30:00;01-01-2024;08:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;08:45:00;01-01-2024;09:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,058;kWh;Uitgelezen;
01-01-2024;08:45:00;01-01-2024;09:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;09:00:00;01-01-2024;09:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,082;kWh;Uitgelezen;
01-01-2024;09:00:00;01-01-2024;09:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;09:15:00;01-01-2024;09:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,084;kWh;Uitgelezen;
01-01-2024;09:15:00;01-01-2024;09:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;09:30:00;01-01-2024;09:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,079;kWh;Uitgelezen;
01-01-2024;09:30:00;01-01-2024;09:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;09:45:00;01-01-2024;10:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,110;kWh;Uitgelezen;
01-01-2024;09:45:00;01-01-2024;10:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;10:00:00;01-01-2024;10:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,065;kWh;Uitgelezen;
01-01-2024;10:00:00;01-01-2024;10:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;10:15:00;01-01-2024;10:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,040;kWh;Uitgelezen;
01-01-2024;10:15:00;01-01-2024;10:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;10:30:00;01-01-2024;10:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,026;kWh;Uitgelezen;
01-01-2024;10:30:00;01-01-2024;10:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,003;kWh;Uitgelezen;
01-01-2024;10:45:00;01-01-2024;11:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,026;kWh;Uitgelezen;
01-01-2024;10:45:00;01-01-2024;11:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,018;kWh;Uitgelezen;
01-01-2024;11:00:00;01-01-2024;11:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,000;kWh;Uitgelezen;
01-01-2024;11:00:00;01-01-2024;11:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,025;kWh;Uitgelezen;
01-01-2024;11:15:00;01-01-2024;11:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,033;kWh;Uitgelezen;
01-01-2024;11:15:00;01-01-2024;11:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,020;kWh;Uitgelezen;
01-01-2024;11:30:00;01-01-2024;11:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,003;kWh;Uitgelezen;
01-01-2024;11:30:00;01-01-2024;11:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,005;kWh;Uitgelezen;
01-01-2024;11:45:00;01-01-2024;12:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,010;kWh;Uitgelezen;
01-01-2024;11:45:00;01-01-2024;12:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,001;kWh;Uitgelezen;
01-01-2024;12:00:00;01-01-2024;12:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,052;kWh;Uitgelezen;
01-01-2024;12:00:00;01-01-2024;12:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,014;kWh;Uitgelezen;
01-01-2024;12:15:00;01-01-2024;12:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,192;kWh;Uitgelezen;
01-01-2024;12:15:00;01-01-2024;12:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;12:30:00;01-01-2024;12:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,057;kWh;Uitgelezen;
01-01-2024;12:30:00;01-01-2024;12:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,089;kWh;Uitgelezen;
01-01-2024;12:45:00;01-01-2024;13:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,099;kWh;Uitgelezen;
01-01-2024;12:45:00;01-01-2024;13:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,032;kWh;Uitgelezen;
01-01-2024;13:00:00;01-01-2024;13:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,072;kWh;Uitgelezen;
01-01-2024;13:00:00;01-01-2024;13:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,015;kWh;Uitgelezen;
01-01-2024;13:15:00;01-01-2024;13:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,052;kWh;Uitgelezen;
01-01-2024;13:15:00;01-01-2024;13:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,004;kWh;Uitgelezen;
01-01-2024;13:30:00;01-01-2024;13:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,046;kWh;Uitgelezen;
01-01-2024;13:30:00;01-01-2024;13:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;13:45:00;01-01-2024;14:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,083;kWh;Uitgelezen;
01-01-2024;13:45:00;01-01-2024;14:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;14:00:00;01-01-2024;14:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,022;kWh;Uitgelezen;
01-01-2024;14:00:00;01-01-2024;14:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,011;kWh;Uitgelezen;
01-01-2024;14:15:00;01-01-2024;14:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,004;kWh;Uitgelezen;
01-01-2024;14:15:00;01-01-2024;14:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,058;kWh;Uitgelezen;
01-01-2024;14:30:00;01-01-2024;14:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,000;kWh;Uitgelezen;
01-01-2024;14:30:00;01-01-2024;14:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,129;kWh;Uitgelezen;
01-01-2024;14:45:00;01-01-2024;15:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,000;kWh;Uitgelezen;
01-01-2024;14:45:00;01-01-2024;15:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,168;kWh;Uitgelezen;
01-01-2024;15:00:00;01-01-2024;15:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,000;kWh;Uitgelezen;
01-01-2024;15:00:00;01-01-2024;15:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,048;kWh;Uitgelezen;
01-01-2024;15:15:00;01-01-2024;15:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,004;kWh;Uitgelezen;
01-01-2024;15:15:00;01-01-2024;15:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,005;kWh;Uitgelezen;
01-01-2024;15:30:00;01-01-2024;15:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,014;kWh;Uitgelezen;
01-01-2024;15:30:00;01-01-2024;15:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;15:45:00;01-01-2024;16:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,030;kWh;Uitgelezen;
01-01-2024;15:45:00;01-01-2024;16:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;16:00:00;01-01-2024;16:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,056;kWh;Uitgelezen;
01-01-2024;16:00:00;01-01-2024;16:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;16:15:00;01-01-2024;16:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,074;kWh;Uitgelezen;
01-01-2024;16:15:00;01-01-2024;16:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;16:30:00;01-01-2024;16:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,086;kWh;Uitgelezen;
01-01-2024;16:30:00;01-01-2024;16:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;16:45:00;01-01-2024;17:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,078;kWh;Uitgelezen;
01-01-2024;16:45:00;01-01-2024;17:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;17:00:00;01-01-2024;17:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,067;kWh;Uitgelezen;
01-01-2024;17:00:00;01-01-2024;17:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;17:15:00;01-01-2024;17:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,080;kWh;Uitgelezen;
01-01-2024;17:15:00;01-01-2024;17:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;17:30:00;01-01-2024;17:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,088;kWh;Uitgelezen;
01-01-2024;17:30:00;01-01-2024;17:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;17:45:00;01-01-2024;18:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,082;kWh;Uitgelezen;
01-01-2024;17:45:00;01-01-2024;18:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;18:00:00;01-01-2024;18:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,074;kWh;Uitgelezen;
01-01-2024;18:00:00;01-01-2024;18:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;18:15:00;01-01-2024;18:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,063;kWh;Uitgelezen;
01-01-2024;18:15:00;01-01-2024;18:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;18:30:00;01-01-2024;18:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,052;kWh;Uitgelezen;
01-01-2024;18:30:00;01-01-2024;18:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;18:45:00;01-01-2024;19:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,052;kWh;Uitgelezen;
01-01-2024;18:45:00;01-01-2024;19:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;19:00:00;01-01-2024;19:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,073;kWh;Uitgelezen;
01-01-2024;19:00:00;01-01-2024;19:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;19:15:00;01-01-2024;19:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,095;kWh;Uitgelezen;
01-01-2024;19:15:00;01-01-2024;19:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;19:30:00;01-01-2024;19:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,081;kWh;Uitgelezen;
01-01-2024;19:30:00;01-01-2024;19:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;19:45:00;01-01-2024;20:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,073;kWh;Uitgelezen;
01-01-2024;19:45:00;01-01-2024;20:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;20:00:00;01-01-2024;20:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,059;kWh;Uitgelezen;
01-01-2024;20:00:00;01-01-2024;20:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;20:15:00;01-01-2024;20:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,065;kWh;Uitgelezen;
01-01-2024;20:15:00;01-01-2024;20:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;20:30:00;01-01-2024;20:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,062;kWh;Uitgelezen;
01-01-2024;20:30:00;01-01-2024;20:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;20:45:00;01-01-2024;21:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Dag;0,053;kWh;Uitgelezen;
01-01-2024;20:45:00;01-01-2024;21:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Dag;0,000;kWh;Uitgelezen;
01-01-2024;21:00:00;01-01-2024;21:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,076;kWh;Uitgelezen;
01-01-2024;21:00:00;01-01-2024;21:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;21:15:00;01-01-2024;21:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,084;kWh;Uitgelezen;
01-01-2024;21:15:00;01-01-2024;21:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;21:30:00;01-01-2024;21:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,077;kWh;Uitgelezen;
01-01-2024;21:30:00;01-01-2024;21:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;21:45:00;01-01-2024;22:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,078;kWh;Uitgelezen;
01-01-2024;21:45:00;01-01-2024;22:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;22:00:00;01-01-2024;22:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,101;kWh;Uitgelezen;
01-01-2024;22:00:00;01-01-2024;22:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;22:15:00;01-01-2024;22:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,101;kWh;Uitgelezen;
01-01-2024;22:15:00;01-01-2024;22:30:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;22:30:00;01-01-2024;22:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,065;kWh;Uitgelezen;
01-01-2024;22:30:00;01-01-2024;22:45:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;22:45:00;01-01-2024;23:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,080;kWh;Uitgelezen;
01-01-2024;22:45:00;01-01-2024;23:00:00;="541448860014138595";1SAG3100549120;Digitale meter;Injectie Nacht;0,000;kWh;Uitgelezen;
01-01-2024;23:00:00;01-01-2024;23:15:00;="541448860014138595";1SAG3100549120;Digitale meter;Afname Nacht;0,091;kWh;Uitgelezen;
