Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Calorische bovenwaarde;Omschrijving
15-04-2023;17:00:00;15-04-2023;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,251;kWh;Uitgelezen;Definitief;
15-04-2023;18:00:00;15-04-2023;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;18:00:00;15-04-2023;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;19:00:00;15-04-2023;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,067;m³;Uitgelezen;;
15-04-2023;19:00:00;15-04-2023;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,763;kWh;Uitgelezen;Definitief;
15-04-2023;20:00:00;15-04-2023;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,186;m³;Uitgelezen;;
15-04-2023;20:00:00;15-04-2023;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;2,119;kWh;Uitgelezen;Definitief;
15-04-2023;21:00:00;15-04-2023;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,001;m³;Uitgelezen;;
15-04-2023;21:00:00;15-04-2023;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,011;kWh;Uitgelezen;Definitief;
15-04-2023;22:00:00;15-04-2023;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;22:00:00;15-04-2023;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
15-04-2023;23:00:00;16-04-2023;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
15-04-2023;23:00:00;16-04-2023;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;00:00:00;16-04-2023;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-04-2023;00:00:00;16-04-2023;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;01:00:00;16-04-2023;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-04-2023;01:00:00;16-04-2023;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;02:00:00;16-04-2023;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-04-2023;02:00:00;16-04-2023;03:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;03:00:00;16-04-2023;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,027;m³;Uitgelezen;;
16-04-2023;03:00:00;16-04-2023;04:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,308;kWh;Uitgelezen;Definitief;
16-04-2023;04:00:00;16-04-2023;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,095;m³;Uitgelezen;;
16-04-2023;04:00:00;16-04-2023;05:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,082;kWh;Uitgelezen;Definitief;
16-04-2023;05:00:00;16-04-2023;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,098;m³;Uitgelezen;;
16-04-2023;05:00:00;16-04-2023;06:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,117;kWh;Uitgelezen;Definitief;
16-04-2023;06:00:00;16-04-2023;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,098;m³;Uitgelezen;;
16-04-2023;06:00:00;16-04-2023;07:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,117;kWh;Uitgelezen;Definitief;
16-04-2023;07:00:00;16-04-2023;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,504;m³;Uitgelezen;;
16-04-2023;07:00:00;16-04-2023;08:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;5,742;kWh;Uitgelezen;Definitief;
16-04-2023;08:00:00;16-04-2023;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,374;m³;Uitgelezen;;
16-04-2023;08:00:00;16-04-2023;09:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;4,261;kWh;Uitgelezen;Definitief;
16-04-2023;09:00:00;16-04-2023;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-04-2023;09:00:00;16-04-2023;10:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;10:00:00;16-04-2023;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-04-2023;10:00:00;16-04-2023;11:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;11:00:00;16-04-2023;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,020;m³;Uitgelezen;;
16-04-2023;11:00:00;16-04-2023;12:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,228;kWh;Uitgelezen;Definitief;
16-04-2023;12:00:00;16-04-2023;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-04-2023;12:00:00;16-04-2023;13:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;13:00:00;16-04-2023;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,110;m³;Uitgelezen;;
16-04-2023;13:00:00;16-04-2023;14:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,253;kWh;Uitgelezen;Definitief;
16-04-2023;14:00:00;16-04-2023;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,391;m³;Uitgelezen;;
16-04-2023;14:00:00;16-04-2023;15:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;4,455;kWh;Uitgelezen;Definitief;
16-04-2023;15:00:00;16-04-2023;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-04-2023;15:00:00;16-04-2023;16:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;16:00:00;16-04-2023;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-04-2023;16:00:00;16-04-2023;17:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;17:00:00;16-04-2023;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-04-2023;17:00:00;16-04-2023;18:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;18:00:00;16-04-2023;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,360;m³;Uitgelezen;;
16-04-2023;18:00:00;16-04-2023;19:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;4,102;kWh;Uitgelezen;Definitief;
16-04-2023;19:00:00;16-04-2023;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,070;m³;Uitgelezen;;
16-04-2023;19:00:00;16-04-2023;20:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,798;kWh;Uitgelezen;Definitief;
16-04-2023;20:00:00;16-04-2023;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-04-2023;20:00:00;16-04-2023;21:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;21:00:00;16-04-2023;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;m³;Uitgelezen;;
16-04-2023;21:00:00;16-04-2023;22:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,000;kWh;Uitgelezen;Definitief;
16-04-2023;22:00:00;16-04-2023;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,023;m³;Uitgelezen;;
16-04-2023;22:00:00;16-04-2023;23:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,262;kWh;Uitgelezen;Definitief;
16-04-2023;23:00:00;17-04-2023;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,101;m³;Uitgelezen;;
16-04-2023;23:00:00;17-04-2023;00:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;1,151;kWh;Uitgelezen;Definitief;
17-04-2023;00:00:00;17-04-2023;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,286;m³;Uitgelezen;;
17-04-2023;00:00:00;17-04-2023;01:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;3,259;kWh;Uitgelezen;Definitief;
17-04-2023;01:00:00;17-04-2023;02:00:00;="541448860014724224";7FLO2121295011;Digitale meter;Afname;0,858;m³;Uitgelezen;;
